vel_x_space,angular_vel,action
7.979797979797979,-9.797979797979798,[1]
8.18181818181818,-9.797979797979798,[1]
8.383838383838384,-9.797979797979798,[1]
8.585858585858585,-9.797979797979798,[1]
8.787878787878789,-9.797979797979798,[1]
8.98989898989899,-9.797979797979798,[1]
9.19191919191919,-9.797979797979798,[1]
9.393939393939394,-9.797979797979798,[1]
9.595959595959595,-9.797979797979798,[1]
9.7979797979798,-9.797979797979798,[1]
10.0,-9.797979797979798,[1]
-10.0,-9.595959595959595,[0]
-9.797979797979798,-9.595959595959595,[0]
-9.595959595959595,-9.595959595959595,[0]
-9.393939393939394,-9.595959595959595,[0]
-9.191919191919192,-9.595959595959595,[0]
-8.98989898989899,-9.595959595959595,[0]
-8.787878787878787,-9.595959595959595,[0]
-8.585858585858587,-9.595959595959595,[0]
-8.383838383838384,-9.595959595959595,[0]
-8.181818181818182,-9.595959595959595,[0]
-7.979797979797979,-9.595959595959595,[0]
-7.777777777777778,-9.595959595959595,[0]
-7.575757575757576,-9.595959595959595,[0]
-7.373737373737374,-9.595959595959595,[0]
-7.171717171717171,-9.595959595959595,[0]
-6.96969696969697,-9.595959595959595,[0]
-6.767676767676768,-9.595959595959595,[2]
-6.565656565656566,-9.595959595959595,[2]
-6.363636363636363,-9.595959595959595,[2]
-6.161616161616162,-9.595959595959595,[2]
-5.959595959595959,-9.595959595959595,[2]
-5.757575757575758,-9.595959595959595,[2]
-5.555555555555555,-9.595959595959595,[2]
-5.353535353535354,-9.595959595959595,[2]
-5.151515151515151,-9.595959595959595,[2]
-4.94949494949495,-9.595959595959595,[2]
-4.747474747474747,-9.595959595959595,[2]
-4.545454545454546,-9.595959595959595,[2]
-4.343434343434343,-9.595959595959595,[2]
-4.141414141414142,-9.595959595959595,[2]
-3.9393939393939394,-9.595959595959595,[1]
-3.737373737373738,-9.595959595959595,[1]
-3.5353535353535355,-9.595959595959595,[1]
-3.333333333333333,-9.595959595959595,[1]
-3.1313131313131315,-9.595959595959595,[1]
-2.929292929292929,-9.595959595959595,[1]
-2.7272727272727275,-9.595959595959595,[1]
-2.525252525252525,-9.595959595959595,[1]
-2.3232323232323235,-9.595959595959595,[1]
-2.121212121212121,-9.595959595959595,[1]
-1.9191919191919187,-9.595959595959595,[1]
-1.717171717171718,-9.595959595959595,[1]
-1.5151515151515156,-9.595959595959595,[1]
-1.3131313131313131,-9.595959595959595,[1]
-1.1111111111111107,-9.595959595959595,[1]
-0.9090909090909101,-9.595959595959595,[1]
-0.7070707070707076,-9.595959595959595,[1]
-0.5050505050505052,-9.595959595959595,[1]
-0.30303030303030276,-9.595959595959595,[1]
-0.10101010101010033,-9.595959595959595,[1]
0.10101010101010033,-9.595959595959595,[1]
0.30303030303030276,-9.595959595959595,[1]
0.5050505050505052,-9.595959595959595,[1]
0.7070707070707076,-9.595959595959595,[1]
0.9090909090909083,-9.595959595959595,[1]
