x_space,y_space,action
-0.7828282828282829,-0.1262626262626263,[2]
-0.7323232323232323,-0.1262626262626263,[2]
-0.6818181818181819,-0.1262626262626263,[2]
-0.6313131313131313,-0.1262626262626263,[2]
-0.5808080808080809,-0.1262626262626263,[2]
-0.5303030303030303,-0.1262626262626263,[2]
-0.47979797979797967,-0.1262626262626263,[2]
-0.4292929292929295,-0.1262626262626263,[2]
-0.3787878787878789,-0.1262626262626263,[2]
-0.3282828282828283,-0.1262626262626263,[2]
-0.2777777777777777,-0.1262626262626263,[2]
-0.22727272727272751,-0.1262626262626263,[2]
-0.1767676767676769,-0.1262626262626263,[2]
-0.1262626262626263,-0.1262626262626263,[2]
-0.07575757575757569,-0.1262626262626263,[2]
-0.025252525252525082,-0.1262626262626263,[2]
0.025252525252525082,-0.1262626262626263,[0]
0.07575757575757569,-0.1262626262626263,[0]
0.1262626262626263,-0.1262626262626263,[2]
0.1767676767676769,-0.1262626262626263,[2]
0.22727272727272707,-0.1262626262626263,[2]
0.2777777777777777,-0.1262626262626263,[2]
0.3282828282828283,-0.1262626262626263,[2]
0.3787878787878789,-0.1262626262626263,[2]
0.42929292929292906,-0.1262626262626263,[2]
0.47979797979797967,-0.1262626262626263,[2]
0.5303030303030303,-0.1262626262626263,[2]
0.5808080808080809,-0.1262626262626263,[2]
0.631313131313131,-0.1262626262626263,[2]
0.6818181818181817,-0.1262626262626263,[2]
0.7323232323232323,-0.1262626262626263,[2]
0.7828282828282829,-0.1262626262626263,[2]
0.8333333333333335,-0.1262626262626263,[2]
0.8838383838383836,-0.1262626262626263,[2]
0.9343434343434343,-0.1262626262626263,[2]
0.9848484848484849,-0.1262626262626263,[2]
1.0353535353535355,-0.1262626262626263,[2]
1.0858585858585856,-0.1262626262626263,[2]
1.1363636363636362,-0.1262626262626263,[2]
1.1868686868686869,-0.1262626262626263,[2]
1.2373737373737375,-0.1262626262626263,[2]
1.2878787878787876,-0.1262626262626263,[2]
1.3383838383838382,-0.1262626262626263,[2]
1.3888888888888888,-0.1262626262626263,[2]
1.4393939393939394,-0.1262626262626263,[2]
1.4898989898989896,-0.1262626262626263,[2]
1.5404040404040407,-0.1262626262626263,[2]
1.5909090909090908,-0.1262626262626263,[2]
1.641414141414141,-0.1262626262626263,[2]
1.691919191919192,-0.1262626262626263,[2]
1.7424242424242422,-0.1262626262626263,[2]
1.7929292929292933,-0.1262626262626263,[2]
1.8434343434343434,-0.1262626262626263,[2]
1.8939393939393936,-0.1262626262626263,[2]
1.9444444444444446,-0.1262626262626263,[2]
1.9949494949494948,-0.1262626262626263,[2]
2.045454545454545,-0.1262626262626263,[2]
2.095959595959596,-0.1262626262626263,[2]
2.146464646464646,-0.1262626262626263,[2]
2.1969696969696972,-0.1262626262626263,[2]
2.2474747474747474,-0.1262626262626263,[2]
2.2979797979797976,-0.1262626262626263,[2]
2.3484848484848486,-0.1262626262626263,[2]
2.398989898989899,-0.1262626262626263,[2]
2.44949494949495,-0.1262626262626263,[2]
2.5,-0.1262626262626263,[2]
-2.5,-0.07575757575757569,[3]
-2.4494949494949494,-0.07575757575757569,[3]
-2.398989898989899,-0.07575757575757569,[3]
-2.3484848484848486,-0.07575757575757569,[3]
-2.297979797979798,-0.07575757575757569,[3]
-2.2474747474747474,-0.07575757575757569,[3]
-2.196969696969697,-0.07575757575757569,[3]
-2.1464646464646466,-0.07575757575757569,[3]
-2.095959595959596,-0.07575757575757569,[3]
-2.0454545454545454,-0.07575757575757569,[3]
-1.9949494949494948,-0.07575757575757569,[3]
-1.9444444444444444,-0.07575757575757569,[3]
-1.893939393939394,-0.07575757575757569,[3]
-1.8434343434343434,-0.07575757575757569,[3]
-1.7929292929292928,-0.07575757575757569,[3]
-1.7424242424242424,-0.07575757575757569,[3]
-1.691919191919192,-0.07575757575757569,[3]
-1.6414141414141414,-0.07575757575757569,[3]
-1.5909090909090908,-0.07575757575757569,[3]
-1.5404040404040404,-0.07575757575757569,[3]
-1.4898989898989898,-0.07575757575757569,[3]
-1.4393939393939394,-0.07575757575757569,[3]
-1.3888888888888888,-0.07575757575757569,[3]
-1.3383838383838385,-0.07575757575757569,[3]
-1.2878787878787878,-0.07575757575757569,[3]
-1.2373737373737375,-0.07575757575757569,[3]
-1.1868686868686869,-0.07575757575757569,[3]
-1.1363636363636365,-0.07575757575757569,[3]
-1.0858585858585859,-0.07575757575757569,[3]
-1.0353535353535355,-0.07575757575757569,[3]
-0.9848484848484849,-0.07575757575757569,[3]
-0.9343434343434345,-0.07575757575757569,[3]
-0.8838383838383839,-0.07575757575757569,[3]
-0.8333333333333333,-0.07575757575757569,[3]
-0.7828282828282829,-0.07575757575757569,[3]
-0.7323232323232323,-0.07575757575757569,[3]
-0.6818181818181819,-0.07575757575757569,[3]
-0.6313131313131313,-0.07575757575757569,[3]
-0.5808080808080809,-0.07575757575757569,[3]
-0.5303030303030303,-0.07575757575757569,[3]
-0.47979797979797967,-0.07575757575757569,[2]
-0.4292929292929295,-0.07575757575757569,[2]
-0.3787878787878789,-0.07575757575757569,[2]
-0.3282828282828283,-0.07575757575757569,[2]
-0.2777777777777777,-0.07575757575757569,[2]
-0.22727272727272751,-0.07575757575757569,[2]
-0.1767676767676769,-0.07575757575757569,[2]
-0.1262626262626263,-0.07575757575757569,[2]
-0.07575757575757569,-0.07575757575757569,[0]
-0.025252525252525082,-0.07575757575757569,[0]
0.025252525252525082,-0.07575757575757569,[0]
0.07575757575757569,-0.07575757575757569,[0]
0.1262626262626263,-0.07575757575757569,[0]
0.1767676767676769,-0.07575757575757569,[0]
0.22727272727272707,-0.07575757575757569,[0]
0.2777777777777777,-0.07575757575757569,[2]
0.3282828282828283,-0.07575757575757569,[2]
0.3787878787878789,-0.07575757575757569,[2]
0.42929292929292906,-0.07575757575757569,[2]
0.47979797979797967,-0.07575757575757569,[2]
0.5303030303030303,-0.07575757575757569,[2]
0.5808080808080809,-0.07575757575757569,[2]
0.631313131313131,-0.07575757575757569,[2]
0.6818181818181817,-0.07575757575757569,[2]
0.7323232323232323,-0.07575757575757569,[2]
0.7828282828282829,-0.07575757575757569,[2]
0.8333333333333335,-0.07575757575757569,[2]
0.8838383838383836,-0.07575757575757569,[2]
0.9343434343434343,-0.07575757575757569,[2]
0.9848484848484849,-0.07575757575757569,[2]
1.0353535353535355,-0.07575757575757569,[2]
1.0858585858585856,-0.07575757575757569,[2]
1.1363636363636362,-0.07575757575757569,[2]
1.1868686868686869,-0.07575757575757569,[2]
1.2373737373737375,-0.07575757575757569,[2]
1.2878787878787876,-0.07575757575757569,[2]
1.3383838383838382,-0.07575757575757569,[2]
1.3888888888888888,-0.07575757575757569,[2]
1.4393939393939394,-0.07575757575757569,[2]
1.4898989898989896,-0.07575757575757569,[2]
1.5404040404040407,-0.07575757575757569,[2]
1.5909090909090908,-0.07575757575757569,[2]
1.641414141414141,-0.07575757575757569,[2]
1.691919191919192,-0.07575757575757569,[2]
1.7424242424242422,-0.07575757575757569,[2]
1.7929292929292933,-0.07575757575757569,[2]
1.8434343434343434,-0.07575757575757569,[2]
1.8939393939393936,-0.07575757575757569,[2]
1.9444444444444446,-0.07575757575757569,[2]
1.9949494949494948,-0.07575757575757569,[2]
2.045454545454545,-0.07575757575757569,[2]
2.095959595959596,-0.07575757575757569,[2]
2.146464646464646,-0.07575757575757569,[2]
2.1969696969696972,-0.07575757575757569,[2]
2.2474747474747474,-0.07575757575757569,[2]
2.2979797979797976,-0.07575757575757569,[2]
2.3484848484848486,-0.07575757575757569,[2]
2.398989898989899,-0.07575757575757569,[2]
2.44949494949495,-0.07575757575757569,[2]
2.5,-0.07575757575757569,[2]
-2.5,-0.025252525252525082,[3]
-2.4494949494949494,-0.025252525252525082,[3]
-2.398989898989899,-0.025252525252525082,[3]
-2.3484848484848486,-0.025252525252525082,[3]
-2.297979797979798,-0.025252525252525082,[3]
-2.2474747474747474,-0.025252525252525082,[3]
-2.196969696969697,-0.025252525252525082,[3]
-2.1464646464646466,-0.025252525252525082,[3]
-2.095959595959596,-0.025252525252525082,[3]
-2.0454545454545454,-0.025252525252525082,[3]
-1.9949494949494948,-0.025252525252525082,[3]
-1.9444444444444444,-0.025252525252525082,[3]
-1.893939393939394,-0.025252525252525082,[3]
-1.8434343434343434,-0.025252525252525082,[3]
-1.7929292929292928,-0.025252525252525082,[3]
-1.7424242424242424,-0.025252525252525082,[3]
-1.691919191919192,-0.025252525252525082,[3]
-1.6414141414141414,-0.025252525252525082,[3]
-1.5909090909090908,-0.025252525252525082,[3]
-1.5404040404040404,-0.025252525252525082,[3]
-1.4898989898989898,-0.025252525252525082,[3]
-1.4393939393939394,-0.025252525252525082,[3]
-1.3888888888888888,-0.025252525252525082,[3]
-1.3383838383838385,-0.025252525252525082,[3]
-1.2878787878787878,-0.025252525252525082,[3]
-1.2373737373737375,-0.025252525252525082,[3]
-1.1868686868686869,-0.025252525252525082,[3]
-1.1363636363636365,-0.025252525252525082,[3]
-1.0858585858585859,-0.025252525252525082,[3]
-1.0353535353535355,-0.025252525252525082,[3]
-0.9848484848484849,-0.025252525252525082,[3]
-0.9343434343434345,-0.025252525252525082,[3]
-0.8838383838383839,-0.025252525252525082,[3]
-0.8333333333333333,-0.025252525252525082,[3]
-0.7828282828282829,-0.025252525252525082,[3]
-0.7323232323232323,-0.025252525252525082,[3]
-0.6818181818181819,-0.025252525252525082,[3]
-0.6313131313131313,-0.025252525252525082,[3]
-0.5808080808080809,-0.025252525252525082,[3]
-0.5303030303030303,-0.025252525252525082,[3]
-0.47979797979797967,-0.025252525252525082,[3]
-0.4292929292929295,-0.025252525252525082,[3]
-0.3787878787878789,-0.025252525252525082,[3]
-0.3282828282828283,-0.025252525252525082,[3]
-0.2777777777777777,-0.025252525252525082,[3]
-0.22727272727272751,-0.025252525252525082,[3]
-0.1767676767676769,-0.025252525252525082,[0]
-0.1262626262626263,-0.025252525252525082,[0]
-0.07575757575757569,-0.025252525252525082,[0]
-0.025252525252525082,-0.025252525252525082,[0]
0.025252525252525082,-0.025252525252525082,[0]
0.07575757575757569,-0.025252525252525082,[0]
0.1262626262626263,-0.025252525252525082,[0]
0.1767676767676769,-0.025252525252525082,[0]
0.22727272727272707,-0.025252525252525082,[0]
0.2777777777777777,-0.025252525252525082,[0]
0.3282828282828283,-0.025252525252525082,[0]
0.3787878787878789,-0.025252525252525082,[2]
0.42929292929292906,-0.025252525252525082,[2]
0.47979797979797967,-0.025252525252525082,[2]
0.5303030303030303,-0.025252525252525082,[2]
0.5808080808080809,-0.025252525252525082,[2]
0.631313131313131,-0.025252525252525082,[2]
0.6818181818181817,-0.025252525252525082,[2]
0.7323232323232323,-0.025252525252525082,[2]
0.7828282828282829,-0.025252525252525082,[2]
0.8333333333333335,-0.025252525252525082,[2]
0.8838383838383836,-0.025252525252525082,[2]
0.9343434343434343,-0.025252525252525082,[2]
0.9848484848484849,-0.025252525252525082,[2]
1.0353535353535355,-0.025252525252525082,[2]
1.0858585858585856,-0.025252525252525082,[2]
1.1363636363636362,-0.025252525252525082,[2]
1.1868686868686869,-0.025252525252525082,[2]
1.2373737373737375,-0.025252525252525082,[2]
1.2878787878787876,-0.025252525252525082,[2]
1.3383838383838382,-0.025252525252525082,[2]
1.3888888888888888,-0.025252525252525082,[2]
1.4393939393939394,-0.025252525252525082,[2]
1.4898989898989896,-0.025252525252525082,[2]
1.5404040404040407,-0.025252525252525082,[2]
1.5909090909090908,-0.025252525252525082,[2]
1.641414141414141,-0.025252525252525082,[2]
1.691919191919192,-0.025252525252525082,[2]
1.7424242424242422,-0.025252525252525082,[2]
1.7929292929292933,-0.025252525252525082,[2]
1.8434343434343434,-0.025252525252525082,[2]
1.8939393939393936,-0.025252525252525082,[2]
1.9444444444444446,-0.025252525252525082,[2]
1.9949494949494948,-0.025252525252525082,[2]
2.045454545454545,-0.025252525252525082,[2]
2.095959595959596,-0.025252525252525082,[2]
2.146464646464646,-0.025252525252525082,[2]
2.1969696969696972,-0.025252525252525082,[2]
2.2474747474747474,-0.025252525252525082,[2]
2.2979797979797976,-0.025252525252525082,[2]
2.3484848484848486,-0.025252525252525082,[2]
2.398989898989899,-0.025252525252525082,[2]
2.44949494949495,-0.025252525252525082,[2]
2.5,-0.025252525252525082,[2]
-2.5,0.025252525252525082,[3]
-2.4494949494949494,0.025252525252525082,[3]
-2.398989898989899,0.025252525252525082,[3]
-2.3484848484848486,0.025252525252525082,[3]
-2.297979797979798,0.025252525252525082,[3]
-2.2474747474747474,0.025252525252525082,[3]
-2.196969696969697,0.025252525252525082,[3]
-2.1464646464646466,0.025252525252525082,[3]
-2.095959595959596,0.025252525252525082,[3]
-2.0454545454545454,0.025252525252525082,[3]
-1.9949494949494948,0.025252525252525082,[3]
-1.9444444444444444,0.025252525252525082,[3]
-1.893939393939394,0.025252525252525082,[3]
-1.8434343434343434,0.025252525252525082,[3]
-1.7929292929292928,0.025252525252525082,[3]
-1.7424242424242424,0.025252525252525082,[3]
-1.691919191919192,0.025252525252525082,[3]
-1.6414141414141414,0.025252525252525082,[3]
-1.5909090909090908,0.025252525252525082,[3]
-1.5404040404040404,0.025252525252525082,[3]
-1.4898989898989898,0.025252525252525082,[3]
-1.4393939393939394,0.025252525252525082,[3]
-1.3888888888888888,0.025252525252525082,[3]
-1.3383838383838385,0.025252525252525082,[3]
-1.2878787878787878,0.025252525252525082,[3]
-1.2373737373737375,0.025252525252525082,[3]
-1.1868686868686869,0.025252525252525082,[3]
-1.1363636363636365,0.025252525252525082,[3]
-1.0858585858585859,0.025252525252525082,[3]
-1.0353535353535355,0.025252525252525082,[3]
-0.9848484848484849,0.025252525252525082,[3]
-0.9343434343434345,0.025252525252525082,[3]
-0.8838383838383839,0.025252525252525082,[3]
-0.8333333333333333,0.025252525252525082,[3]
-0.7828282828282829,0.025252525252525082,[3]
-0.7323232323232323,0.025252525252525082,[3]
-0.6818181818181819,0.025252525252525082,[3]
-0.6313131313131313,0.025252525252525082,[3]
-0.5808080808080809,0.025252525252525082,[3]
-0.5303030303030303,0.025252525252525082,[3]
-0.47979797979797967,0.025252525252525082,[3]
-0.4292929292929295,0.025252525252525082,[3]
-0.3787878787878789,0.025252525252525082,[3]
-0.3282828282828283,0.025252525252525082,[3]
-0.2777777777777777,0.025252525252525082,[3]
-0.22727272727272751,0.025252525252525082,[3]
-0.1767676767676769,0.025252525252525082,[3]
-0.1262626262626263,0.025252525252525082,[0]
-0.07575757575757569,0.025252525252525082,[0]
-0.025252525252525082,0.025252525252525082,[0]
0.025252525252525082,0.025252525252525082,[0]
0.07575757575757569,0.025252525252525082,[0]
0.1262626262626263,0.025252525252525082,[0]
0.1767676767676769,0.025252525252525082,[0]
0.22727272727272707,0.025252525252525082,[0]
0.2777777777777777,0.025252525252525082,[0]
0.3282828282828283,0.025252525252525082,[0]
0.3787878787878789,0.025252525252525082,[0]
0.42929292929292906,0.025252525252525082,[0]
0.47979797979797967,0.025252525252525082,[2]
0.5303030303030303,0.025252525252525082,[2]
0.5808080808080809,0.025252525252525082,[2]
0.631313131313131,0.025252525252525082,[2]
0.6818181818181817,0.025252525252525082,[2]
0.7323232323232323,0.025252525252525082,[2]
0.7828282828282829,0.025252525252525082,[2]
0.8333333333333335,0.025252525252525082,[2]
0.8838383838383836,0.025252525252525082,[2]
0.9343434343434343,0.025252525252525082,[2]
0.9848484848484849,0.025252525252525082,[2]
1.0353535353535355,0.025252525252525082,[2]
1.0858585858585856,0.025252525252525082,[2]
1.1363636363636362,0.025252525252525082,[2]
1.1868686868686869,0.025252525252525082,[2]
1.2373737373737375,0.025252525252525082,[2]
1.2878787878787876,0.025252525252525082,[2]
1.3383838383838382,0.025252525252525082,[2]
1.3888888888888888,0.025252525252525082,[2]
1.4393939393939394,0.025252525252525082,[2]
1.4898989898989896,0.025252525252525082,[2]
1.5404040404040407,0.025252525252525082,[2]
1.5909090909090908,0.025252525252525082,[2]
1.641414141414141,0.025252525252525082,[2]
1.691919191919192,0.025252525252525082,[2]
1.7424242424242422,0.025252525252525082,[2]
1.7929292929292933,0.025252525252525082,[2]
1.8434343434343434,0.025252525252525082,[2]
1.8939393939393936,0.025252525252525082,[2]
1.9444444444444446,0.025252525252525082,[2]
1.9949494949494948,0.025252525252525082,[2]
2.045454545454545,0.025252525252525082,[2]
2.095959595959596,0.025252525252525082,[2]
2.146464646464646,0.025252525252525082,[2]
2.1969696969696972,0.025252525252525082,[2]
2.2474747474747474,0.025252525252525082,[2]
2.2979797979797976,0.025252525252525082,[2]
2.3484848484848486,0.025252525252525082,[2]
2.398989898989899,0.025252525252525082,[2]
2.44949494949495,0.025252525252525082,[2]
2.5,0.025252525252525082,[2]
-2.5,0.07575757575757569,[3]
-2.4494949494949494,0.07575757575757569,[3]
-2.398989898989899,0.07575757575757569,[3]
-2.3484848484848486,0.07575757575757569,[3]
-2.297979797979798,0.07575757575757569,[3]
-2.2474747474747474,0.07575757575757569,[3]
-2.196969696969697,0.07575757575757569,[3]
-2.1464646464646466,0.07575757575757569,[3]
-2.095959595959596,0.07575757575757569,[3]
-2.0454545454545454,0.07575757575757569,[3]
-1.9949494949494948,0.07575757575757569,[3]
-1.9444444444444444,0.07575757575757569,[3]
-1.893939393939394,0.07575757575757569,[3]
-1.8434343434343434,0.07575757575757569,[3]
-1.7929292929292928,0.07575757575757569,[3]
-1.7424242424242424,0.07575757575757569,[3]
-1.691919191919192,0.07575757575757569,[3]
-1.6414141414141414,0.07575757575757569,[3]
-1.5909090909090908,0.07575757575757569,[3]
-1.5404040404040404,0.07575757575757569,[3]
-1.4898989898989898,0.07575757575757569,[3]
-1.4393939393939394,0.07575757575757569,[3]
-1.3888888888888888,0.07575757575757569,[3]
-1.3383838383838385,0.07575757575757569,[3]
-1.2878787878787878,0.07575757575757569,[3]
-1.2373737373737375,0.07575757575757569,[3]
-1.1868686868686869,0.07575757575757569,[3]
-1.1363636363636365,0.07575757575757569,[3]
-1.0858585858585859,0.07575757575757569,[3]
-1.0353535353535355,0.07575757575757569,[3]
-0.9848484848484849,0.07575757575757569,[3]
-0.9343434343434345,0.07575757575757569,[3]
-0.8838383838383839,0.07575757575757569,[3]
-0.8333333333333333,0.07575757575757569,[3]
-0.7828282828282829,0.07575757575757569,[3]
-0.7323232323232323,0.07575757575757569,[3]
-0.6818181818181819,0.07575757575757569,[3]
-0.6313131313131313,0.07575757575757569,[3]
-0.5808080808080809,0.07575757575757569,[3]
-0.5303030303030303,0.07575757575757569,[3]
-0.47979797979797967,0.07575757575757569,[3]
-0.4292929292929295,0.07575757575757569,[3]
-0.3787878787878789,0.07575757575757569,[3]
-0.3282828282828283,0.07575757575757569,[3]
-0.2777777777777777,0.07575757575757569,[3]
-0.22727272727272751,0.07575757575757569,[3]
-0.1767676767676769,0.07575757575757569,[3]
-0.1262626262626263,0.07575757575757569,[3]
-0.07575757575757569,0.07575757575757569,[0]
-0.025252525252525082,0.07575757575757569,[0]
0.025252525252525082,0.07575757575757569,[0]
0.07575757575757569,0.07575757575757569,[0]
0.1262626262626263,0.07575757575757569,[0]
0.1767676767676769,0.07575757575757569,[0]
0.22727272727272707,0.07575757575757569,[0]
0.2777777777777777,0.07575757575757569,[0]
0.3282828282828283,0.07575757575757569,[0]
0.3787878787878789,0.07575757575757569,[0]
0.42929292929292906,0.07575757575757569,[0]
0.47979797979797967,0.07575757575757569,[0]
0.5303030303030303,0.07575757575757569,[0]
0.5808080808080809,0.07575757575757569,[2]
0.631313131313131,0.07575757575757569,[2]
0.6818181818181817,0.07575757575757569,[2]
